stname,cluster_id,utc_time,utc_timestamp,utc_time_s,utc_timestamp_s,time_diff
HSH ,1,2008-08-06T00:11:12.200000Z,1217981472.2,2008-08-06T00:11:25.000000Z,1217981485.0,12.799999952316284
HSH ,1,2008-08-06T00:31:28.000000Z,1217982688.0,2008-08-06T00:31:41.500000Z,1217982701.5,13.5
HSH ,1,2008-08-06T00:42:30.000000Z,1217983350.0,2008-08-06T00:42:40.400000Z,1217983360.4,10.400000095367432
HSH ,1,2008-08-06T03:43:06.600000Z,1217994186.6,2008-08-06T03:43:34.100000Z,1217994214.1,27.5
HSH ,1,2008-08-06T04:01:12.900000Z,1217995272.9,2008-08-06T04:01:27.300000Z,1217995287.3,14.399999856948853
HSH ,1,2008-08-06T06:11:14.600000Z,1218003074.6,2008-08-06T06:11:18.200000Z,1218003078.2,3.6000001430511475
HSH ,1,2008-08-06T06:21:18.700000Z,1218003678.7,2008-08-06T06:21:31.200000Z,1218003691.2,12.5
HSH ,1,2008-08-06T07:46:15.100000Z,1218008775.1,2008-08-06T07:46:29.600000Z,1218008789.6,14.5
HSH ,1,2008-08-06T08:07:18.900000Z,1218010038.9,2008-08-06T08:07:30.300000Z,1218010050.3,11.399999856948853
HSH ,1,2008-08-06T08:26:32.700000Z,1218011192.7,2008-08-06T08:26:43.800000Z,1218011203.8,11.099999904632568
HSH ,1,2008-08-06T09:45:57.300000Z,1218015957.3,2008-08-06T09:46:11.600000Z,1218015971.6,14.299999952316284
HSH ,1,2008-08-06T10:43:42.800000Z,1218019422.8,2008-08-06T10:43:57.900000Z,1218019437.9,15.100000143051147
HSH ,1,2008-08-06T11:35:24.700000Z,1218022524.7,2008-08-06T11:35:39.600000Z,1218022539.6,14.899999856948853
HSH ,1,2008-08-06T13:33:10.100000Z,1218029590.1,2008-08-06T13:33:21.100000Z,1218029601.1,11.0
HSH ,1,2008-08-06T15:05:28.700000Z,1218035128.7,2008-08-06T15:05:38.000000Z,1218035138.0,9.299999952316284
HSH ,1,2008-08-06T15:09:34.600000Z,1218035374.6,2008-08-06T15:09:46.900000Z,1218035386.9,12.300000190734863
HSH ,1,2008-08-06T15:28:54.100000Z,1218036534.1,2008-08-06T15:29:07.600000Z,1218036547.6,13.5
HSH ,1,2008-08-06T16:29:30.600000Z,1218040170.6,2008-08-06T16:29:44.200000Z,1218040184.2,13.600000143051147
HSH ,1,2008-08-06T17:14:52.000000Z,1218042892.0,2008-08-06T17:15:05.800000Z,1218042905.8,13.799999952316284
HSH ,1,2008-08-06T18:20:42.000000Z,1218046842.0,2008-08-06T18:20:53.000000Z,1218046853.0,11.0
